article,line_no,phrase,global_citations
"Maestre-Cambronel D, 2021, DYNA, V88, P68",0,this investigation evaluated the integration of an alkaline electrolyzer for dual-fuel operation in an experimental test bench of a diesel engine from a techno-economic viewpoint.,0
"Maestre-Cambronel D, 2021, DYNA, V88, P68",1,"the characterization of the electrolyzer operation indicated that higher electrolyte (koh) concentrations (30  40% w/w) improve the overall performance since less voltage is required for electrolysis, thus featuring higher efficiencies (50  60%) and hydrogen production (4  6 lpm).",0
"Maestre-Cambronel D, 2021, DYNA, V88, P68",2,"the economic analysis demonstrated that hydrogen cost remains competitive (4.3-5.6 usd/kg), and it is greatly dependent on the electrolyte concentration.",0
"Maestre-Cambronel D, 2021, DYNA, V88, P68",3,"additionally, the operation of the engine with hydrogen injection at 20 lpm and a palm biodiesel blend reduced the fuel consumption rate between 10  31% depending on the load rate when compared to pure diesel.",0
"Maestre-Cambronel D, 2021, DYNA, V88, P68",4,"in contrast, dual-fuel operation generated a minor reduction in fuel conversion efficiency (< 5%), which reflects on the power output.",0
"Maestre-Cambronel D, 2021, DYNA, V88, P68",5,"overall, this technology stands as a promising avenue to improve the fuel utilization ratio.",0
"Maestre-Cambronel D, 2021, DYNA, V88, P68",6,the author.,0
"Maestre-Cambronel D, 2021, DYNA, V88, P68",7,licensee universidad nacional de colombia.,0
"Benedet GW, 2021, DYNA, V88, P9",0,"offshore wind energy production is non-existent in brazil, although is currently considered in the country's expansion plans.",0
"Benedet GW, 2021, DYNA, V88, P9",1,"new and promising oil and gas fields have recently been discovered in the sergipe and alagoas basin, corresponding to one third of current brazilian production.",0
"Benedet GW, 2021, DYNA, V88, P9",2,this work analyzes the technical and economic viability of an offshore wind farm to supply the energy demand of a floating liquified natural gas proposed to be used in those fields.,0
"Benedet GW, 2021, DYNA, V88, P9",3,the resulting estimated cost of capital and levelized cost of energy were in line with international values.,0
"Benedet GW, 2021, DYNA, V88, P9",4,"however, the project proved to be unfeasible due to the high cost for its size and the low average price of energy generation.",0
"Benedet GW, 2021, DYNA, V88, P9",5,"nonetheless, the synergy between the oil and gas sector and offshore wind may include benefits such as the reduction of greenhouse gas emissions within the sector itself, making the non-renewable resource available for more noble use.",0
"Benedet GW, 2021, DYNA, V88, P9",6,the author.,0
"Benedet GW, 2021, DYNA, V88, P9",7,licensee universidad nacional de colombia.,0
"Forero CA, 2021, DYNA, V88, P35",0,conventional oil reserves in colombia are depleted.,0
"Forero CA, 2021, DYNA, V88, P35",1,the country s reserve-to-production ratio is estimated as 5 years.,0
"Forero CA, 2021, DYNA, V88, P35",2,"therefore, the search for new resources and their conversion into proven reserves are essential.",0
"Forero CA, 2021, DYNA, V88, P35",3,"in this case, the production of unconventional reservoirs is an option in colombia.",0
"Forero CA, 2021, DYNA, V88, P35",4,"this work evaluates the technical and economic feasibility of the production of a tight oil source rock reservoir, considering parameters such as fracture shape factor, fracture propagation, fracture pressure, international oil price, petrophysical characteristics, fluid properties, drilling cost, completion, and fiscal regime.",0
"Forero CA, 2021, DYNA, V88, P35",5,"the methodological development of the work allowed concluding that this reservoir located in the middle magdalena valley basin has production potential and those factors such as the type of completion, drilling technique, and cost of lifting the resource have a significant impact on the viability of the project.",0
"Forero CA, 2021, DYNA, V88, P35",6,the author.,0
"Forero CA, 2021, DYNA, V88, P35",7,licensee universidad nacional de colombia.,0
"Camargo FG, 2021, DYNA, V88, P50",0,the practical application of renewable energies to solve current environmental problems is still under discussion today.,1
"Camargo FG, 2021, DYNA, V88, P50",1,"in this article, he surveyed the biomass and biogas potential available in entre rios and usable in concepcion del uruguay.",1
"Camargo FG, 2021, DYNA, V88, P50",2,"in the first, the forestry, agro-industry and in the second the organic residues of the chickens are studied.",1
"Camargo FG, 2021, DYNA, V88, P50",3,"a novel contribution is presented in relation to the energy return on investment for renewable generation sources in argentina, which measures its energy profitability, through the life cycle analysis for its calculation, by measuring energy expenses in different stages.",1
"Camargo FG, 2021, DYNA, V88, P50",4,"this article seeks to reveal the main data that will be used in subsequent optimization work, especially in determining the energy profitability of generators and the optimization of distributed generation in medium voltage.",1
"Camargo FG, 2021, DYNA, V88, P50",5,the author.,1
"Camargo FG, 2021, DYNA, V88, P50",6,licensee universidad nacional de colombia.,1
"Bocanegra SY, 2021, DYNA, V88, P19",0,"in this article, a combinatorial optimization approach for estimating the electrical parameters in single-phase distribution transformers by considering voltage and current measures is presented.",4
"Bocanegra SY, 2021, DYNA, V88, P19",1,a nonlinear programming model was formulated to represent the parametric estimation problem.,4
"Bocanegra SY, 2021, DYNA, V88, P19",2,this mathematical optimization model was developed by applying kirchhoffs laws to the equivalent electric circuit of the transformer.,4
"Bocanegra SY, 2021, DYNA, V88, P19",3,"to solve the nlp model is employed the sine-cosine algorithm, which corresponds to a combinatorial optimization methodology from the family of metaheuristics that has the ability for finding good solutions with minimum computational requirements, easily implementable at any programming language.",4
"Bocanegra SY, 2021, DYNA, V88, P19",4,"numerical results show that the parametric estimation in the transformers using the proposed nlp model represents the electrical behavior of these devices adequately, considering different load scenarios.",4
"Bocanegra SY, 2021, DYNA, V88, P19",5,all the simulations were carried out using matlab software and compared with the gams optimization package.,4
"Bocanegra SY, 2021, DYNA, V88, P19",6,the author.,4
"Bocanegra SY, 2021, DYNA, V88, P19",7,licensee universidad nacional de colombia.,4
"Chaparro-Cardenas SL, 2021, DYNA, V88, P212",0,"plants have mechanisms to perceive and transmit information between their organs and tissues to respond quickly to abiotic and biotic external stimuli from the environment, producing different electrical potential types.",0
"Chaparro-Cardenas SL, 2021, DYNA, V88, P212",1,"it is reported on the generation and conduction of electrochemical impulses within different tissues and organs of the plant, which have been acquired using different methods to use them in various applications in the improvement of the agro-industrial sector and the development of different types of phytosensors.",0
"Chaparro-Cardenas SL, 2021, DYNA, V88, P212",2,"in this review paper, the various studies that have been carried out since pfeffer, burdon-sanderson, darwin, haberlandt, and bose discovered electrical activity in plants until today are reported.",0
"Chaparro-Cardenas SL, 2021, DYNA, V88, P212",3,"plants provide mechanisms to perform biosensors based on responding to environmental changes, opening a great path for the design of low-cost and highly sensitive sensors and sensor networks, the current trend is towards experimental analysis using various stimuli.",0
"Chaparro-Cardenas SL, 2021, DYNA, V88, P212",4,the author.,0
"Chaparro-Cardenas SL, 2021, DYNA, V88, P212",5,licensee universidad nacional de colombia.,0
"Fuertez-Cordoba JM, 2021, DYNA, V88, P168",0,"the objective of this study to analyze the effect of alkaline pretreatment on the structure, composition, and subsequent hydrolysis of agricultural wastes.",0
"Fuertez-Cordoba JM, 2021, DYNA, V88, P168",1,an increase in the content of reducing sugars after the pretreatment is achieved.,0
"Fuertez-Cordoba JM, 2021, DYNA, V88, P168",2,"its effectiveness is confirmed, offering a practical procedure to produce alternative energy.",0
"Fuertez-Cordoba JM, 2021, DYNA, V88, P168",3,"factors such as the calcium hydroxide concentration (0.1 and 0.5g ca(oh)2/g-dry matter), liquid to solid ratio (12 and 28ml/g-dry matter), temperature (40 and 70c), stirring rate (0 and 200rpm), an average particle size (0.45 and 1.015mm) were assessed using an experimental design.",0
"Fuertez-Cordoba JM, 2021, DYNA, V88, P168",4,"on average, kikuyo grass had the highest lignin removal (28.31%) while the african oil palm fiber had the lowest value (14.10%).",0
"Fuertez-Cordoba JM, 2021, DYNA, V88, P168",5,"the average particle size was a statistically significant factor for the pretreatment of african oil palm fiber, the stirring rate was an important factor during the pretreatment of kikuyo grass.",0
"Fuertez-Cordoba JM, 2021, DYNA, V88, P168",6,the ca(oh)2 concentration had a major effect on the pretreatment of sugarcane bagasse and coffee pulp waste.,0
"Fuertez-Cordoba JM, 2021, DYNA, V88, P168",7,the author.,0
"Fuertez-Cordoba JM, 2021, DYNA, V88, P168",8,licensee universidad nacional de colombia.,0
"Velez-Varela F, 2021, DYNA, V88, P159",0,"to model the power measurement conditions of an energy system, an initial reference should be made within the specification of a generic energy consumption (ec) model.",0
"Velez-Varela F, 2021, DYNA, V88, P159",1,"this ec model is based on the energy state of a system comprising goods, networks, and services, which supports energy management capabilities.",0
"Velez-Varela F, 2021, DYNA, V88, P159",2,"therefore, a prototype tool to record power consumption (pc) at the device level is designed and implemented, thereby enabling devise use optimization.",0
"Velez-Varela F, 2021, DYNA, V88, P159",3,"the core is to collect energy-related information in internet protocol networks that support the simple network management protocol, in addition to the standard proposed in rfc-7460, and the green information technology.",0
"Velez-Varela F, 2021, DYNA, V88, P159",4,the information obtained is related to the energy consumed by devices that support those technologies.,0
"Velez-Varela F, 2021, DYNA, V88, P159",5,"then, the information is processed to evaluate different pc characteristics of the network.",0
